2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,38.55,37.078,26.847,20.834,27.484,26.847,39.295,27.484,36.352,33.51,4.375,3.036,13.083,28.778
,37.078,37.078,26.847,20.834,27.484,26.216,39.295,26.847,35.632,32.815,4.668,2.794,13.083,28.778
,37.078,37.078,25.592,20.834,27.484,26.216,39.295,26.216,34.918,31.444,5.278,1.717,13.083,28.778
,37.078,37.078,25.592,19.711,26.847,25.592,39.295,25.592,34.211,30.098,5.278,1.529,12.623,28.778
,36.352,37.078,25.592,19.16,25.592,25.592,38.55,25.592,34.211,30.098,5.278,1.351,11.284,28.778
,35.632,37.078,24.363,19.16,24.363,24.974,37.811,25.592,33.51,30.098,5.278,1.351,9.198,28.778
,35.632,37.811,23.758,19.16,23.758,24.974,37.078,24.974,33.51,30.768,4.969,1.182,8.803,28.778
,37.078,38.55,23.16,19.16,23.16,24.363,36.352,24.974,33.51,28.128,4.668,1.182,8.416,28.778
,34.211,39.295,22.569,18.616,22.569,24.363,34.918,24.363,32.815,26.847,4.668,1.182,8.416,28.778
,33.51,40.046,22.569,18.616,21.984,24.363,34.211,24.363,32.126,26.847,4.09,1.182,5.278,28.778
,32.815,40.046,21.984,18.616,21.984,24.363,33.51,24.363,32.126,26.216,3.814,1.182,5.278,28.778
,32.126,40.803,21.984,18.616,21.984,23.758,33.51,23.758,30.768,26.216,3.546,1.024,5.278,28.778
,32.126,39.295,21.406,18.078,21.984,23.758,32.126,23.758,29.435,26.216,3.287,1.024,5.278,28.778
,32.126,37.078,20.834,17.547,21.984,23.758,32.126,24.363,28.778,25.592,2.794,0.875,5.92,28.778
,32.126,37.078,20.834,17.547,21.984,23.758,32.126,26.216,28.128,24.363,2.794,0.875,7.664,28.778
,32.126,40.803,19.711,17.547,22.569,25.592,34.918,26.847,27.484,23.758,2.561,0.875,8.037,28.778
,30.098,44.681,19.711,17.024,21.984,25.592,35.632,26.847,25.592,22.569,2.561,0.736,6.595,28.778
,30.768,44.681,19.16,17.024,23.16,24.363,36.352,26.847,25.592,22.569,2.561,0.608,6.253,28.778
,30.098,42.336,19.16,17.547,23.16,23.16,36.352,27.484,25.592,21.984,2.336,0.608,6.253,28.778
,29.435,39.295,18.616,18.078,23.758,23.16,34.211,28.128,24.363,21.984,2.336,0.608,5.278,28.128
,28.778,38.55,17.547,18.616,23.758,21.984,30.768,28.128,23.16,21.984,2.336,0.608,5.278,28.128
,28.778,37.811,17.547,19.711,23.758,21.984,30.768,28.128,21.984,23.16,2.121,0.491,5.278,26.847
,28.128,37.811,17.024,19.711,23.16,21.406,32.126,26.847,23.16,23.16,2.121,0.491,5.278,27.484
