2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
80.56575263,24.974,21.984,13.551,14.026,13.083,14.508,28.128,16.507,17.547,22.569,0.136,0.068,2.121,20.834
77.97272433,24.363,23.16,13.551,13.551,12.169,14.508,28.778,15.996,17.547,21.984,0.136,0.068,2.121,20.269
77.23639772,23.16,23.16,13.083,13.083,12.169,14.508,28.778,15.996,18.078,21.406,0.079,0.0395,2.121,19.711
75.64663225,22.569,23.16,12.623,12.623,12.169,14.508,27.484,15.996,18.616,20.269,0.079,0.0395,1.914,19.711
73.16720854,21.984,23.758,12.623,12.623,11.723,16.507,26.847,13.551,18.616,19.16,0.079,0.0395,1.351,19.711
74.10303012,21.406,23.16,12.623,12.623,11.723,16.507,25.592,10.427,19.711,19.16,0.035,0.0175,0.736,19.711
79.9834567,21.406,22.569,12.623,11.723,11.284,15.996,28.778,10.01,19.711,21.406,0.035,0.0175,0.736,19.711
91.27782431,21.406,22.569,13.083,11.723,11.284,15.493,28.778,10.01,19.711,28.128,0.008,0.004,0.736,19.711
93.25836876,20.834,20.834,13.551,11.723,10.852,15.493,26.847,10.01,19.711,28.128,0.008,0.004,0.736,18.616
,,,,11.723,,,,9.198,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
123.2737386,21.406,15.493,14.508,11.723,10.427,14.508,26.847,9.198,19.711,26.847,23.279,25.063,0.736,18.616
111.5770667,20.834,19.16,21.984,11.723,10.01,13.551,26.216,9.198,19.711,24.363,22.037,23.2,0.736,18.078
110.2756917,20.834,18.616,26.847,11.284,10.01,13.551,26.216,9.198,19.711,23.16,21.4355,22.29775,0.736,18.078
108.5702081,20.269,18.616,25.592,11.284,9.6,13.083,25.592,9.198,19.711,22.569,21.14,21.8545,0.736,18.078
107.7327811,20.269,18.078,24.363,11.284,9.6,12.169,24.363,8.803,19.711,21.984,20.8475,21.41575,0.736,17.547
105.7055843,19.711,18.616,24.363,11.284,9.6,11.723,23.16,8.416,20.269,21.406,20.8375,21.12175,0.736,17.547
104.1746146,19.16,19.711,21.984,11.284,9.6,11.723,21.984,8.416,20.834,21.406,21.12,21.263,0.736,17.547
103.1461915,18.078,21.984,19.711,11.284,9.198,10.852,20.834,8.416,22.569,22.569,22.569,22.569,0.736,15.493
96.30454894,17.547,23.758,18.616,10.852,9.198,10.852,17.547,8.416,21.406,20.834,21.12,20.977,0.736,15.493
96.08913338,17.547,23.758,17.547,10.852,9.198,10.01,17.024,8.416,21.406,20.834,21.12,20.977,0.736,15.493
96.56565314,17.547,23.16,16.507,10.852,9.198,10.01,16.507,8.416,21.984,20.269,21.1265,20.69775,0.736,18.078
94.88081582,17.547,24.363,16.507,10.852,8.803,10.427,15.996,9.198,20.834,20.269,20.5515,20.41025,0.736,21.984
96.45490086,17.547,23.16,15.493,10.852,8.803,10.427,15.996,9.198,19.711,20.269,19.99,20.1295,1.529,21.984
97.12986432,17.547,21.984,15.493,10.852,9.198,10.852,15.493,9.198,19.16,19.711,19.4355,19.57325,1.717,22.569
99.20777505,17.024,20.834,14.508,10.852,9.198,13.551,13.083,9.198,19.16,19.711,19.4355,19.57325,1.717,22.569
101.760889,19.711,19.711,12.623,10.852,10.01,13.551,14.508,9.6,19.16,19.711,19.4355,19.57325,1.717,23.16
105.6666413,19.711,18.616,14.997,10.427,11.723,18.616,14.508,10.427,19.16,19.711,19.4355,19.57325,1.914,23.16
105.3393683,20.834,19.16,15.493,10.427,13.551,18.616,14.508,10.427,18.078,19.711,18.8945,19.30275,1.914,23.758
108.5184684,20.834,18.616,15.996,10.427,23.16,17.547,14.997,10.01,17.547,19.16,18.3535,18.75675,2.121,24.363
108.3142033,24.363,18.616,17.547,10.01,25.592,17.547,14.508,10.01,18.078,18.078,18.078,18.078,2.121,24.363
112.9074438,55.47,19.16,20.269,9.6,26.216,18.616,14.508,9.198,19.711,17.547,18.629,18.088,2.121,25.592
106.6495827,34.918,20.269,19.711,10.01,30.098,18.616,15.493,9.198,19.711,15.996,17.8535,16.92475,2.121,28.778
102.6627518,33.51,20.269,26.847,12.169,31.444,19.711,16.507,10.01,20.269,14.997,17.633,16.315,2.121,30.098
105.1996856,33.51,20.269,28.778,13.551,33.51,20.269,17.024,10.01,20.269,16.507,18.388,17.4475,2.121,30.098
119.7538781,33.51,19.711,30.098,13.551,34.918,20.834,17.024,10.01,19.16,22.569,20.8645,21.71675,2.121,30.098
