1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
968,505,460,550,625,376,,574,679.4,605.8,711.6,556,,,,,2007.432
926,492,456,540,595,368,,560.5,665.6,601.2,693.2,556,,,,,1974.667
902,480,440,530,585,364,,556,651.8,596.6,679.4,542.6,,,,,1950.272
878,468,420,520,575,360,,547,647.2,592,665.6,542.6,,,,,1926.031
842,436,336,505,570,356,,538.2,642.6,583,656.4,547,,,,,1901.942
818,452,396,500,545,352,,525,638,578.5,642.6,538.2,,,,,1862.135
794,440,380,496,535,340,,516.2,628.8,569.5,628.8,533.8,,,,,1830.595
770,436,380,480,515,324,,503,624.2,565,619.6,529.4,,,,,1791.552
746,420,368,456,505,312,,490.2,615,556,610.4,525,,,,,1745.263
722,412,364,452,488,300,,477.8,615,542.6,610.4,520.6,,,,,1714.743
710,404,360,448,480,300,,469.8,605.8,538.2,601.2,511.8,,,,,1692.031
686,404,364,444,472,288,,462,596.6,533.8,596.6,507.4,,,,,1676.975
674,400,352,432,452,280,,462,583,525,592,503,,,,,1661.987
650,400,348,424,440,268,,450.7,560.5,516.2,583,507.4,,,,,1654.518
635,396,344,416,440,264,,439.6,533.8,511.8,574,516.2,,,,,1624.814
620,384,336,400,424,260,,425,525,507.4,569,525,,,,,1595.381
600,376,332,392,420,248,,418,511.8,503,565,529.4,,,,,1566.22
590,372,324,380,416,239,,411,503,494.4,565,520.6,,,,,1537.33
570,360,316,376,416,239,,407.5,494.4,486,551.5,511.8,,,,,1522.987
560,356,308,372,412,236,,400.5,486,477.8,533.8,498.7,,,,,
550,352,304,364,412,233,,393.5,477.8,469.8,,494.4,,,,,
540,344,296,352,412,230,,386.5,473.8,465.9,,486,,,,,
530,340,296,348,400,227,,383,462,462,,477.8,,,,,
520,336,288,340,396,224,,376,450.7,454.4,,473.8,,,,,
500,332,284,336,396,221,,372.5,443.3,447,,465.9,,,,,
492,324,280,332,392,218,,372.5,439.6,439.6,,465.9,,,,,
